"","name","term","estimate","std.error","statistic","p.value"
"1","Chao1","(Intercept)",2987.8951875,206.506411053696,14.4687768881087,6.66458874367764e-21
"2","Chao1","visitV4",-10.4880625000001,292.04416722913,-0.0359125902068485,0.971475373145626
"3","Chao1","TreatmentDECAF",-259.596920833333,296.871670591253,-0.87444154006449,0.385484420571095
"4","Chao1","visitV4:TreatmentDECAF",30.0367291666666,419.839942834508,0.071543286148232,0.943211506526214
"5","Shannon","(Intercept)",4.2494375,0.102975135315159,41.2666367176353,1.09202811317988e-44
"6","Shannon","visitV4",0.112249999999999,0.145628832949902,0.770795162786303,0.443957013592988
"7","Shannon","TreatmentDECAF",0.112295833333333,0.148036084179598,0.758570681977073,0.451181058168081
"8","Shannon","visitV4:TreatmentDECAF",-0.340716666666666,0.209354637967392,-1.6274617556824,0.109060075253012
"9","Simpson","(Intercept)",0.9595625,0.0107501207056843,89.260625649777,8.50474640863908e-64
"10","Simpson","visitV4",0.00799999999999999,0.0152029664991265,0.526213091402894,0.600746654546702
"11","Simpson","TreatmentDECAF",0.0088375,0.0154542722265619,0.571848345262783,0.56963445485767
"12","Simpson","visitV4:TreatmentDECAF",-0.0354666666666667,0.0218556413794097,-1.62276942831246,0.110062323605593
